"SiteCode","SurveyID","dup"
"NWS110",912344282,FALSE
"NWS111",912344284,FALSE
"NWS113",912344288,FALSE
"NWS114",912344290,FALSE
"NWS115",912344292,FALSE
"NWS116",912344294,FALSE
"NWS117",912344296,FALSE
"NWS118",912344298,FALSE
"NWS119",912344300,FALSE
"NWS121",912344304,FALSE
"NWS122",912344306,FALSE
"NWS123",912344308,FALSE
"NWS124",912344310,FALSE
"NWS125",912344312,FALSE
"NWS126",912344314,FALSE
"NWS127",912344316,FALSE
"NWS128",912344318,FALSE
"NWS129",912344320,FALSE
"NWS130",912344322,FALSE
"NWS131",912344324,FALSE
"NWS132",912344326,FALSE
"NWS133",912344328,FALSE
"NWS134",912344330,FALSE
"NWS135",912344332,FALSE
"NWS136",912344334,FALSE
"NWS137",912344336,FALSE
"NWS138",912344338,FALSE
"NWS139",912344340,FALSE
"NWS140",912344342,FALSE
"NWS141",912344344,FALSE
"NWS142",912344346,FALSE
"NWS143",912344348,FALSE
"NWS144",912344350,FALSE
"NWS145",912344352,FALSE
"NWS146",912344354,FALSE
"NWS147",912344356,FALSE
"NWS148",912344358,FALSE
"NWS149",912344360,FALSE
"NWS150",912344362,FALSE
"NWS152",912344364,FALSE
"NWS153",912344366,FALSE
"NWS154",912344368,FALSE
"NWS155",912344370,FALSE
"NWS159",912344377,FALSE
"NWS160",912344379,FALSE
"NWS161",912344381,FALSE
"NWS162",912344383,FALSE
"NWS186",912352098,FALSE
"NWS187",912352099,FALSE
"NWS188",912352058,FALSE
"NWS189",912352042,FALSE
"NWS190",912352100,FALSE
"NWS191",912352101,FALSE
"NWS192",912352044,FALSE
"NWS193",912352056,FALSE
"NWS50",912344169,FALSE
"NWS52",912344173,FALSE
"NWS53",912344175,FALSE
"NWS54",912344177,FALSE
"NWS55",912344179,FALSE
"NWS56",912344181,FALSE
"NWS59",912344185,FALSE
"NWS60",912344187,FALSE
"NWS63",912344192,FALSE
"NWS64",912344194,FALSE
"NWS65",912344196,FALSE
"NWS93",912344250,FALSE
"NWS94",912344252,FALSE
"NWS95",912344254,FALSE
"OS2",912346001,FALSE
"OS3",912345994,FALSE
"OS4",912345995,FALSE
"OS5",912345996,FALSE
"OS6",912345997,FALSE
"OS7",912345998,FALSE
"OS8",912345999,FALSE
"PAC13",912341115,FALSE
"PAC2",912341093,FALSE
"PAC20",912341129,FALSE
"PAC21",912341131,FALSE
"PAC22",912341133,FALSE
"PAC23",912341135,FALSE
"PAC25",912341139,FALSE
"PAC26",912341141,FALSE
"PAC27",912341143,FALSE
"PAC28",912341145,FALSE
"PAC29",912341147,FALSE
"PAC30",912341149,FALSE
"PAC31",912341151,FALSE
"PAC32",912341153,FALSE
"PAC33",912341155,FALSE
"PAC34",912341157,FALSE
"PAC35",912341159,FALSE
"PAC36",912341161,FALSE
"PAC37",912341163,FALSE
"PAC38",912341165,FALSE
"PAC39",912341167,FALSE
"PAC40",912341169,FALSE
"PAC41",912341171,FALSE
"PAC42",912341173,FALSE
"PAC43",912341175,FALSE
"PAC44",912341177,FALSE
"PAC46",912341180,FALSE
"PAC48",912341183,FALSE
"PAC49",912341185,FALSE
"PAC5",912341097,FALSE
"PAC50",912341187,FALSE
"PAC51",912341189,FALSE
"PAC52",912341191,FALSE
"PAC53",912341193,FALSE
"PAC55",912341196,FALSE
"PAC56",912341198,FALSE
"PAC58",912341201,FALSE
"PAC59",912341203,FALSE
"PAC6",912341099,FALSE
"PAC60",912341205,FALSE
"PAC7",912341101,FALSE
"PAC8",912341103,FALSE
"RAJA11",912344468,FALSE
"RAJA12",912344471,FALSE
"RAJA13",912344474,FALSE
"RAJA14",912344476,FALSE
"RAJA15",912344478,FALSE
"RAJA17",912344480,FALSE
"RAJA18",912344482,FALSE
"RAJA19",912344484,FALSE
"RAJA20",912344489,FALSE
"RAJA21",912344492,FALSE
"RAJA23",912344496,FALSE
"RAJA25",912344500,FALSE
"RAJA27",912344504,FALSE
"RAJA28",912344506,FALSE
"RAJA29",912344508,FALSE
"RAJA30",912344513,FALSE
"RAJA31",912344515,FALSE
"RAJA32",912344573,FALSE
"RAJA34",912350294,FALSE
"RAJA36",912350317,FALSE
"RAJA37",912350315,FALSE
"RAJA38",912350319,FALSE
"RAJA39",912350323,FALSE
"RAJA40",912350321,FALSE
"RAJA41",912350327,FALSE
"RAJA42",912350331,FALSE
"RAJA43",912350333,FALSE
"RAJA44",912350335,FALSE
"RAJA45",912350337,FALSE
"RAJA46",912350339,FALSE
"RAJA47",912350345,FALSE
"RAJA48",912350341,FALSE
"RAJA49",912350343,FALSE
"RAJA50",912350347,FALSE
"RAJA51",912350349,FALSE
"RAJA52",912350351,FALSE
"RAJA53",912350355,FALSE
"RAJA54",912350353,FALSE
"RT2",912344543,FALSE
"RT3",912344545,FALSE
"RT4",912344548,FALSE
"SEY7",912340378,FALSE
"TCI1",912345033,FALSE
"TCI2",912345035,FALSE
"TI2",912345986,FALSE
"TI3",912345987,FALSE
"TI4",912345988,FALSE
"TONGA12",676003250,FALSE
"TONGA4",676003242,FALSE
"WA65",6002121,FALSE
"WA66",6002123,FALSE
"WA67",6002132,FALSE
"WA68",6002134,FALSE
"WA70",6002128,FALSE
"WA71",6002144,FALSE
"WA72",6002115,FALSE
"WA73",6002125,FALSE
"WA74",6002147,FALSE
"WA76",6002119,FALSE
"WA78",6002136,FALSE
"WA80",6002117,FALSE
"WA84",6002163,FALSE
"WA85",6002161,FALSE
