"SiteCode","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qb","norm_Qb","nb_of_modules","Qn"
"CS105",96,59,37,602,6.2708,0.2758,15.2703,9.5121,9.5763,8.5565,0.00450600525609403,0.428070499328933,65.5520833333333,0.0313946759259259,61.1230958527932,35.2986563901841,0.401931170901379,0.780724509794781,3,0.223206202521732
"CS106",98,64,34,542,5.5306,0.2491,14.9412,11.7523,7.9375,6.5559,0.00459939143811453,0.446140969497109,61.4183673469388,0.0295422642361418,64.3005603052556,35.4164567617368,0.40471685637169,0.507672856950164,6,0.281674313348627
"CS107",115,62,53,889,7.7304,0.2705,15.7736,12.0394,13.4839,10.7699,0.00388745981853757,0.443170419313283,73.1565217391304,0.0230632161850979,63.1681307708306,32.5731797413395,0.299750296713357,0.41029257861804,6,0.239675144799799
"CS108",100,57,43,599,5.99,0.2444,12.9302,9.5678,9.7544,9.1754,0.00424766692854787,0.420519025926239,70.41,0.0299362244897959,60.0126145388467,32.6669648256389,0.343744682960617,0.445739693119788,6,0.235766782257647
"CS117",103,62,41,551,5.3495,0.2168,12.439,10.4189,8.2258,8.3203,0.00411378661461965,0.419606234691205,72.3398058252427,0.029647461403788,62.5753637020233,33.6331972767384,0.448314957731159,0.53667435361257,7,0.266797385620915
"CS118",105,61,44,603,5.7429,0.2247,12.7045,10.2108,9.1639,8.5365,0.00399101898491317,0.41506597443097,75.3714285714286,0.0292137320044297,57.3204985829432,33.4696670746453,0.435903762771506,0.602354489624629,4,0.257321245131704
"CS119",109,63,46,772,7.0826,0.2664,15.7826,13.4444,11.5238,9.064,0.00410024235882122,0.442826174752692,69.5229357798165,0.0249186149748446,67.9433073849196,36.8168695751793,0.390865522328214,0.519214572057984,6,0.245960734315355
"CS121",95,64,31,514,5.4105,0.2591,15.5806,14.0137,7.5469,6.5706,0.004803323471155,0.45151240628857,58.4526315789474,0.0309273182957393,76.6201537206892,45.5673745551726,0.436921515446265,0.609680794662939,4,0.254555508403739
"CS128",114,64,50,875,7.6754,0.2734,16.5,11.8291,12.8906,10.9459,0.00390178939906432,0.440902202094268,73.3771929824561,0.0237697418148546,65.3809635604038,35.7375075897596,0.419754842698379,0.595784560758476,4,0.237915151515152
"CS133",114,63,51,920,8.0702,0.2863,17.0392,13.7622,13.7937,10.3957,0.00395199339311675,0.446575253422193,71.8245614035088,0.0231692133559706,69.0338683204312,38.4542147731808,0.515033445525551,0.628608391886237,7,0.237639390805405
"CS134",87,61,26,442,5.0805,0.2787,16,10.3499,6.8197,5.8038,0.0049116066399305,0.422398171034023,60.6551724137931,0.0404367816091954,58.995787085347,37.5910874038524,0.399896152619068,0.651034564620572,4,0.246001294378698
"CS135",102,64,38,663,6.5,0.2726,16.4474,13.3512,9.7656,7.7023,0.00444555666422997,0.449001223087227,63.343137254902,0.027174233056586,69.4043046512841,42.4874676164173,0.397450983908553,0.489223736930584,5,0.23874304
"CS136",111,62,49,779,7.018,0.2564,14.898,11.3234,11.7742,9.5564,0.00397692458637471,0.437461704501218,72.1891891891892,0.0246547777285482,61.1379749653932,34.0496273484733,0.285911405931813,0.418560448130849,4,0.250776881215988
"CS137",102,64,38,596,5.8431,0.2451,14.6842,12.8633,8.7188,8.074,0.00430391474931345,0.434695389680659,67.4803921568627,0.0289491171844113,71.2515891042873,43.3632169550564,0.381976906438053,0.536995590166367,4,0.249611387315168
"CS138",108,63,45,717,6.6389,0.2529,14.9333,10.9262,10.6667,9.0429,0.00395015413757372,0.422666492720388,75.2685185185185,0.0275910991636798,59.3838429065182,31.9251281067161,0.446270229758232,0.614621338058482,4,0.250354308390023
"CS14",117,63,54,795,6.7949,0.2337,13.7222,9.4478,11.7619,10.8475,0.00360349138862695,0.418005001080726,83.025641025641,0.0252664762707368,55.2678981065377,28.4146881872298,0.420598955822403,0.544479623901614,5,0.263307235180238
"CS142",113,64,49,870,7.6991,0.2774,16.7551,13.2028,12.8281,10.3211,0.00400657405858433,0.448736294561445,70.283185840708,0.0232417942594934,70.8740060476418,40.0507992004272,0.398351698473128,0.542359490781329,4,0.226146480703696
"CS151",133,64,69,1245,9.3609,0.2819,17.0435,12.3865,18.375,15.0644,0.00337124969551921,0.445004959808536,84.2406015037594,0.0196640059532585,68.0812683825121,31.6592846087727,0.403906180006841,0.541133727105661,4,0.215110023601278
"CS159",115,64,51,726,6.313,0.2224,13.2353,13.0163,10.5469,9.6312,0.0038024146594264,0.43347527117461,76.1652173913044,0.0241794340924776,71.2185758681261,38.2216033044808,0.463946473628528,0.623028971146459,5,0.262959670781893
"CS174",73,53,20,394,5.3973,0.3717,18.7,9.5647,7.0566,5.4505,0.00614341429291786,0.442325829090086,47.3150684931507,0.0478897454384116,65.176085276576,45.497520767742,0.230694745064202,0.322906878592064,4,0.210400640567359
