"site","bAut","det","fish","mInv","sInv","zooP","sum_tot","bAut_prop","det_prop","fish_prop","mInv_prop","sInv_prop","zooP_prop"
"ETP16",3.73,0.88,17.51,9.85,4.96,2.08,39.01,0.0956165085875417,0.0225583183799026,0.448859266854653,0.252499359138682,0.127146885413996,0.0533196616252243
"ETP160",23.7,3.78,185.26,106.02,28.57,13.11,360.44,0.0657529685939407,0.0104871823327045,0.513982909776939,0.294140494950616,0.0792642326045944,0.0363722117412052
"ETP162",14.83,1.18,284.58,14.82,17.73,4.06,337.2,0.0439798339264531,0.0034994068801898,0.843950177935943,0.0439501779359431,0.0525800711743772,0.0120403321470937
"ETP163",17.48,4.02,9.83,26.35,20.3,4.73,82.71,0.211340829403941,0.0486035545883206,0.118848990448555,0.318583000846331,0.245435860234554,0.0571877644782977
"ETP164",400.39,100.01,125.11,524.28,446.71,103.24,1699.74,0.235559556167414,0.0588384105804417,0.0736053749396967,0.308447174273712,0.262810782825609,0.0607387012131267
"ETP165",516,124.74,211.14,609.89,509.17,127.85,2098.79,0.245855945568637,0.0594342454461857,0.100600822378609,0.290591245431892,0.242601689544928,0.0609160516297486
"ETP166",165.18,36.42,30.17,174.15,141.16,41.81,588.89,0.280493810389037,0.0618451663298749,0.0512319788075872,0.295725857121024,0.239705208103381,0.0709979792490958
"ETP167",287.77,57.9,86.42,333.53,193.25,83.3,1042.17,0.276125776025025,0.055557154782809,0.0829231315428385,0.320034159494132,0.185430400030705,0.0799293781244903
"ETP169",32.82,4.7,13.04,76.47,41.48,12.91,181.42,0.180906184544152,0.0259067357512953,0.0718774115312534,0.421508102745012,0.228640723183772,0.0711608422445155
"ETP17",8.08,2.05,20.5,18.34,3.31,7.2,59.48,0.135843981170141,0.0344653665097512,0.344653665097512,0.308338937457969,0.0556489576328178,0.121049092131809
"ETP171",157.91,31.03,150.87,198.49,165.3,40.95,744.55,0.212087838291586,0.0416761802430999,0.202632462561279,0.266590558055201,0.222013296622121,0.0549996642267141
"ETP172",7.77,0.56,3.21,12.05,4.54,3.8,31.93,0.243344816786721,0.0175383651738177,0.100532414657062,0.377388036329471,0.142186031944879,0.119010335108049
"ETP173",25.47,7.83,21.31,26.98,12,4.94,98.53,0.258499949254034,0.0794681822795088,0.216279305795189,0.273825230894144,0.121790317669745,0.0501370141073785
"ETP174",87.96,24.99,15.37,86.74,58.49,18.09,291.64,0.301604718145659,0.0856878343162803,0.052701961322178,0.29742147853518,0.200555479358113,0.0620285283225895
"ETP177",13.74,3.2,10.75,14.45,5.09,3.04,50.27,0.273324050129302,0.0636562562164313,0.213845235727074,0.287447781977322,0.101253232544261,0.0604734434056097
"ETP179",21.1,1.84,33.4,38.79,22.96,6.28,124.37,0.16965506151001,0.0147945646056123,0.268553509688832,0.311891935354185,0.184610436600466,0.0504944922408941
"ETP18",52.12,12.91,103.42,64.62,17.9,17.97,268.94,0.193797873131553,0.0480032721053023,0.384546739049602,0.240276641630103,0.0665575964899234,0.0668178775935153
"ETP180",49.51,10.8,32.73,181.61,53.79,29.47,357.91,0.138330865301333,0.0301751837054008,0.0914475706183119,0.507418065994244,0.150289178843843,0.0823391355368668
"ETP183",25.43,5.34,15.77,42.36,27.75,8.04,124.69,0.203945785548159,0.0428262089983158,0.126473654663566,0.339722511829337,0.222551928783383,0.0644799101772395
"ETP184",11.89,2.44,23.1,32.48,5.36,5.9,81.17,0.146482690649255,0.0300603671307133,0.284587901934212,0.400147837871135,0.0660342491068129,0.0726869533078724
"ETP185",24.29,5.53,163.81,91,20.92,10,315.55,0.0769767073363968,0.0175249564252892,0.519125336713675,0.288385358897164,0.0662969418475677,0.0316906987799081
"ETP186",23.87,2.49,28.12,40.53,19.57,9.84,124.42,0.19185018485774,0.0200128596688635,0.226008680276483,0.325751486899212,0.157289824787012,0.0790869635106896
"ETP187",11.55,0.71,4.23,29.73,15.08,5.76,67.06,0.17223382045929,0.0105875335520429,0.0630778407396362,0.443334327467939,0.224873247837757,0.0858932299433343
"ETP188",71.3,16.98,104.5,101.79,46.01,21.45,362.03,0.196945004557633,0.0469021904262078,0.288650111869182,0.281164544374776,0.127088915283264,0.0592492334889374
"ETP19",46.73,11.87,97.07,93.41,28.57,18.14,295.79,0.15798370465533,0.0401298218330572,0.328172013928801,0.315798370465533,0.096588796105345,0.0613272930119342
"ETP192",17.3,2.52,18.79,30.15,16.2,7.25,92.21,0.187615226114304,0.0273289231102917,0.203773994143802,0.326971044355276,0.175685934280447,0.078624877995879
"ETP195",34.52,7.9,25.98,50.25,18.29,9.6,146.54,0.235567080660571,0.0539101951685547,0.177289477275829,0.342909785724034,0.124812337928211,0.0655111232428006
"ETP197",26.02,5.85,8.27,54.52,22.79,6.92,124.37,0.209214440781539,0.0470370668167564,0.0664951354828335,0.438369381683686,0.183243547479296,0.0556404277558897
"ETP198",32.03,8.75,141.64,32.89,21.19,5.43,241.93,0.132393667589799,0.0361674864630265,0.585458603728351,0.135948414830736,0.0875873186458893,0.0224445087421982
"ETP2",35.78,6.07,13.38,63.38,25.6,14.17,158.38,0.225912362672055,0.0383255461548175,0.0844803636822831,0.400176789998737,0.161636570274025,0.0894683672180831
"ETP200",8.27,0.78,6.05,15.43,6.06,4.04,40.63,0.203544179177947,0.0191976372138814,0.148904750184593,0.379768643859217,0.149150873738617,0.0994339158257445
"ETP203",234.9,57.2,53.69,293.68,254.55,59.5,953.52,0.246350364963504,0.0599882540481584,0.0563071566406578,0.307995637217887,0.266958217971306,0.0624003691584865
"ETP206",91.06,1.87,196,31.33,65.2,6.74,392.2,0.232177460479347,0.0047679755226925,0.499745028046915,0.0798827129015808,0.166241713411525,0.0171851096379398
"ETP207",11.85,2.13,28.3,42.54,10.61,4.13,99.56,0.119023704298915,0.0213941341904379,0.284250703093612,0.427280032141422,0.106568903173965,0.0414825231016472
"ETP208",54.22,11.88,183.79,134.8,31.32,10.57,426.58,0.12710394298842,0.0278494069107788,0.430845327957241,0.316001687842843,0.0734211636738713,0.0247784706268461
"ETP209",79.98,12.01,273.89,124.73,44.59,11.86,547.06,0.146199685592074,0.0219537162285673,0.50065806310094,0.228000584944979,0.0815084268635982,0.0216795232698424
"ETP21",8.03,1.32,87.32,26.65,7.35,6.21,136.88,0.0586645236703682,0.00964348334307423,0.637931034482759,0.194696084161309,0.0536966686148451,0.0453682057276447
"ETP210",98.47,15.26,150.36,143.22,52.03,16.6,475.94,0.20689582720511,0.0320628650670253,0.315922175064084,0.300920284069421,0.109320502584359,0.0348783460100013
"ETP211",19.28,1.46,2.9,17.69,6.96,7,55.29,0.348706818592874,0.0264062217399168,0.0524507144149032,0.31994935793091,0.125881714595768,0.126605172725629
"ETP212",52.26,5.69,18.7,39.89,16.95,14.8,148.29,0.352417560186122,0.0383707599973026,0.126104255175669,0.268999932564569,0.114303054825005,0.0998044372513319
"ETP22",4.98,0.95,19.45,11.39,2.41,2.74,41.92,0.118797709923664,0.022662213740458,0.463979007633588,0.271708015267176,0.0574904580152672,0.0653625954198473
"ETP223",7,1.32,9.36,9.31,3.96,3.26,34.21,0.204618532592809,0.0385852090032154,0.273604209295528,0.272142648348436,0.115755627009646,0.0952937737503654
"ETP224",43.6,9,129.23,96.24,41.62,13.48,333.17,0.130864123420476,0.0270132364858781,0.387880061230003,0.288861542155656,0.124921211393583,0.0404598253144041
"ETP225",26.75,5.88,36.83,90.05,21.22,11.24,191.97,0.139344689274366,0.0306297859040475,0.191852893681304,0.46908371099651,0.110538104912226,0.0585508152315466
"ETP226",6.04,1.39,17.53,25.01,5.83,2.24,58.04,0.104066161268091,0.0239490006891799,0.302033080634045,0.430909717436251,0.100447966919366,0.0385940730530668
"ETP227",33.77,11.66,44.77,37.14,14.98,4.67,146.99,0.229743519967345,0.079325124158106,0.304578542758011,0.252670249676849,0.101911694673107,0.0317708687665828
"ETP228",31.39,7.58,17.94,66.63,26.71,8.5,158.75,0.197732283464567,0.047748031496063,0.113007874015748,0.419716535433071,0.168251968503937,0.0535433070866142
"ETP23",44.8,7.61,230.31,31.91,16.7,12.42,343.75,0.130327272727273,0.0221381818181818,0.669992727272727,0.0928290909090909,0.0485818181818182,0.0361309090909091
"ETP230",5.51,1.2,201.82,22.53,5.47,2.03,238.56,0.0230969148222669,0.00503018108651911,0.845992622401073,0.0944416498993964,0.022929242119383,0.0085093896713615
"ETP231",12.89,2.59,243.64,26.18,13.14,3.05,301.49,0.0427543202096255,0.0085906663570931,0.808119672294272,0.0868353842581844,0.0435835351089588,0.0101164217718664
"ETP232",97.56,23.75,62.18,161.48,109.16,26.36,480.49,0.203042727215967,0.0494287081937189,0.129409561073071,0.336073591541968,0.227184748902162,0.0548606630731129
"ETP234",31.14,5.67,228.13,63.88,33.54,10.42,372.78,0.0835345243843554,0.015210043457267,0.611969526262139,0.171361124523848,0.089972638017061,0.0279521433553302
"ETP236",2.9,0.49,2.31,10.89,2.91,0.92,20.42,0.142017629774731,0.0239960822722821,0.113124387855044,0.533300685602351,0.142507345739471,0.0450538687561214
"ETP237",77.07,16.6,48.84,149.96,81.06,21.87,395.4,0.194916540212443,0.0419828022255943,0.123520485584219,0.379261507334345,0.205007587253414,0.0553110773899848
"ETP239",16,3.15,5.19,31.2,10.25,5.23,71.02,0.225288651084202,0.0443537031822022,0.0730780061954379,0.439312869614193,0.144325542100817,0.0736412278231484
"ETP24",31.77,7.29,336.78,40.04,15.8,9.56,441.24,0.0720016317650258,0.0165216208865923,0.76325809083492,0.0907442661590065,0.0358081769558517,0.0216662133986039
"ETP240",73.57,12.74,16.32,72.83,20.93,22.03,218.42,0.336828129292189,0.0583279919421298,0.0747184323779874,0.333440161157403,0.0958245581906419,0.100860727039648
"ETP242",16.99,1.57,23.72,22.34,10.36,6.76,81.74,0.20785417176413,0.0192072424761439,0.29018840225104,0.273305603131882,0.126743332517739,0.0827012478590653
"ETP243",135.18,37.38,73.74,136.73,59.08,24.72,466.83,0.289570079043763,0.0800719748088169,0.157959000064263,0.292890345521924,0.126555705503074,0.0529528950581582
"ETP244",81.37,19.57,26.14,102.32,43.79,20.11,293.3,0.277429253324241,0.0667234913058302,0.0891237640640982,0.348857824752813,0.149301056938288,0.0685646096147289
"ETP245",43.85,11.15,23.53,41.66,22.17,9.25,151.61,0.289228942681881,0.0735439614801134,0.155200844271486,0.274783985225249,0.146230459732208,0.0610118066090627
"ETP246",134.34,36.96,91.56,166.53,81.31,33.38,544.08,0.246912218791354,0.0679311865902073,0.168284075871195,0.306076312307014,0.149444934568446,0.0613512718717836
"ETP247",27.92,6.11,27.82,46.27,24.82,9.98,142.92,0.195354044220543,0.0427511894766303,0.194654352085083,0.323747551077526,0.173663588021271,0.0698292751189477
"ETP248",78.71,20.78,52.87,122.47,58.99,20.11,353.93,0.22238860791682,0.0587121747238154,0.149379820868533,0.346028875766394,0.166671375695759,0.056819145028678
"ETP27",128.35,30.81,108.62,243.05,70.06,44.45,625.34,0.205248344900374,0.0492691975565292,0.173697508555346,0.38866856430102,0.112035052931205,0.071081331755525
"ETP28",6.13,1.47,52.93,89.03,1.94,19.42,170.92,0.0358647320383805,0.00860051486075357,0.309677041890943,0.52088696466183,0.0113503393400421,0.113620407208051
"ETP3",28.54,8.22,20.32,114.74,38.34,11.99,222.15,0.128471753319829,0.037002025658339,0.09146972766149,0.516497861805087,0.172586090479406,0.0539725410758497
"ETP30",1.68,0.28,1.02,6.85,1.88,0.77,12.48,0.134615384615385,0.0224358974358974,0.0817307692307692,0.548878205128205,0.150641025641026,0.0616987179487179
"ETP31",2.63,0.32,4.23,9.55,2.7,1.7,21.13,0.124467581637482,0.0151443445338381,0.200189304306673,0.451964032181732,0.127780407004259,0.0804543303360151
"ETP32",5.12,0.52,2.68,17.88,5.74,3.21,35.15,0.145661450924609,0.0147937411095306,0.0762446657183499,0.508677098150782,0.163300142247511,0.0913229018492176
"ETP33",9.69,0.3,1.98,13.76,5.48,5.35,36.56,0.265043763676149,0.00820568927789934,0.0541575492341357,0.37636761487965,0.149890590809628,0.146334792122538
"ETP34",0.25,0.06,0.28,1.18,0.3,0.14,2.21,0.113122171945701,0.0271493212669683,0.126696832579186,0.53393665158371,0.135746606334842,0.0633484162895928
"ETP35",1.09,0.05,1.16,1.91,1.16,0.54,5.91,0.184433164128596,0.00846023688663283,0.196277495769882,0.323181049069374,0.196277495769882,0.0913705583756345
"ETP36",0.77,0.12,0.59,2.9,0.76,0.45,5.59,0.137745974955277,0.0214669051878354,0.105545617173524,0.518783542039356,0.135957066189624,0.0805008944543828
"ETP38",4.15,0.33,1.65,9.74,2.99,1.73,20.59,0.201554152501214,0.0160271976687713,0.0801359883438562,0.473045167557067,0.1452161243322,0.0840213695968917
"ETP40",1.48,0.28,1.19,5.74,1.46,1.33,11.48,0.128919860627178,0.024390243902439,0.103658536585366,0.5,0.127177700348432,0.115853658536585
"ETP42",8.75,2.49,4.27,46.93,16.69,6.68,85.81,0.101969467428039,0.0290175970166647,0.0497611001048829,0.546905955016898,0.194499475585596,0.0778464048479198
"ETP43",3.22,0.17,1.48,4.1,1.23,1.48,11.68,0.275684931506849,0.0145547945205479,0.126712328767123,0.351027397260274,0.105308219178082,0.126712328767123
"ETP44",3.67,0.84,1.49,11.54,4.73,1.78,24.05,0.152598752598753,0.0349272349272349,0.061954261954262,0.47983367983368,0.196673596673597,0.074012474012474
"ETP45",58.18,4.75,5.8,36.14,30.97,6.95,142.79,0.407451502206037,0.0332656348483787,0.0406190909727572,0.253098956509559,0.216891939211429,0.0486728762518384
"ETP46",36.57,7.25,17.12,36.05,10.59,5.95,113.53,0.322117501981855,0.0638597727472915,0.150797146128777,0.317537214833084,0.0932793094336299,0.0524090548753633
"ETP47",82.98,20.44,29.63,122.03,70.47,19.81,345.36,0.240271021542738,0.0591846189483438,0.0857945332406764,0.353341440815381,0.204047949965254,0.0573604354876071
"ETP49",70.81,21.98,8.61,45.47,18.67,7.91,173.45,0.408244450850389,0.126722398385702,0.0496396656096858,0.262150475641395,0.107639089074661,0.0456039204381666
"ETP5",64.58,14.05,116.7,201.89,44.18,24.42,465.82,0.138637241853076,0.0301618650981066,0.250525954231248,0.433407754068095,0.0948435017818041,0.0524236829676699
"ETP50",32.27,6.83,70.9,93.56,16.44,5.38,225.38,0.143180406424705,0.0303043748336143,0.314579820747183,0.415121128760316,0.0729434732451859,0.0238707959889964
"ETP52",34.97,6.51,13.84,36.5,17.92,6.79,116.53,0.3000943962928,0.055865442375354,0.1187676993049,0.313224062473183,0.153780142452587,0.0582682571011757
"ETP55",10.91,1.68,4.47,15.98,8.78,3.99,45.81,0.238157607509277,0.0366732154551408,0.097576948264571,0.348832132722113,0.191661209342938,0.0870988867059594
"ETP56",18.8,4.27,78.2,98.91,21.05,22.27,243.5,0.0772073921971253,0.0175359342915811,0.321149897330596,0.406201232032854,0.0864476386036961,0.0914579055441478
"ETP63",72.4,16.38,17.07,48.87,36.76,9.08,200.56,0.360989230155564,0.0816713203031512,0.0851116872756282,0.243667730355006,0.183286796968488,0.0452732349421619
"ETP65",12.99,3.12,3.65,23.12,6.99,2.07,51.94,0.250096264921063,0.0600693107431652,0.0702733923758183,0.445128994994224,0.134578359645745,0.0398536773199846
"ETP66",22.59,5.43,15.76,41.87,12.19,6.72,104.56,0.216048201989288,0.0519319051262433,0.150726855394032,0.400439938791125,0.116583779648049,0.0642693190512624
"ETP67",78.71,17.86,17.83,37.83,30.56,8.92,191.71,0.410568045485369,0.0931615460852329,0.0930050597256273,0.19732929946273,0.159407438318293,0.0465286109227479
"ETP68",4.59,0.39,1.87,8.31,5.54,1.66,22.36,0.205277280858676,0.0174418604651163,0.0836314847942755,0.371645796064401,0.247763864042934,0.0742397137745975
"ETP69",50.41,7,126.37,53.99,44.89,21.04,303.7,0.165986170563056,0.0230490615739216,0.416101415870925,0.177774119196576,0.147810339150477,0.0692788936450445
"ETP70",37.99,7.62,18.29,53.98,16.05,7.39,141.32,0.268822530427399,0.053920181149165,0.129422587036513,0.381969997169544,0.113572035097651,0.0522926691197283
"ETP71",73.17,14.33,254.53,161.51,47.44,14.8,565.78,0.129325886386935,0.0253278659549648,0.449874509526671,0.285464314751317,0.0838488458411397,0.0261585775389727
"ETP72",76.54,7.1,128.06,118.13,72.5,23.86,426.19,0.179591262113142,0.016659236490767,0.300476313381356,0.277176846007649,0.170111921912762,0.0559844200943241
"ETP73",121.99,20.68,305.51,303.41,132.76,34.29,918.64,0.132794130453714,0.0225115387964818,0.332567708786902,0.330281720804668,0.14451798310546,0.0373269180527737
"ETP74",92.97,19.59,59.07,102.87,86.02,23.17,383.69,0.242304985795825,0.0510568427636894,0.15395240949725,0.268107065599833,0.224191404519273,0.0603872918241289
"ETP75",67.06,14.36,32.8,53.87,29.3,7.55,204.94,0.327217722260174,0.070069288572265,0.160046842978433,0.262857421684395,0.142968673758173,0.03684005074656
"ETP76",66.11,10.19,52.7,35.23,45.95,10.29,220.47,0.299859391300404,0.0462194402866603,0.239034789313739,0.15979498344446,0.208418378917767,0.046673016736971
"ETP77",100.81,19.74,116.82,114.96,42.09,21.06,415.48,0.242635024549918,0.0475113122171946,0.281168768653124,0.276692018869741,0.101304515259459,0.0506883604505632
"ETP78",54.74,9.43,25.4,71.15,58.59,16.5,235.81,0.23213604172851,0.0399898223145753,0.107713837411475,0.30172596581994,0.248462745430643,0.069971587294856
"ETP79",78.31,16.41,825.85,230.24,23.07,11.58,1185.46,0.0660587451284733,0.0138427277175105,0.69664940191993,0.194219965245559,0.0194608000269937,0.00976835996153392
"ETP80",18.55,1.83,48.79,33.17,18.32,8.47,129.13,0.143653682335631,0.0141717648880973,0.377836289011074,0.256872918764036,0.141872531557345,0.0655928134438163
"ETP81",81.67,34.45,147.11,90.33,13.83,27.81,395.2,0.206654858299595,0.087171052631579,0.372241902834008,0.228567813765182,0.0349949392712551,0.0703694331983806
"ETP82",26.46,8.32,61.3,54.12,16.38,3.17,169.75,0.155876288659794,0.0490132547864507,0.361119293078056,0.318821796759941,0.0964948453608247,0.0186745213549337
"ETP83",49.27,12.12,97.73,85.57,31.2,10.63,286.52,0.171960072595281,0.042300711992182,0.341093117408907,0.29865279910652,0.108892921960073,0.0371003769370376
"ETP84",113.07,29.72,239.11,259.51,62.71,35.64,739.76,0.152846869254893,0.0401751919541473,0.323226451822213,0.350802963123175,0.0847707364550665,0.048177787390505
"ETP85",2.67,0.38,0.98,9.8,4.03,1.21,19.07,0.14001048767698,0.0199265862611432,0.0513896171997902,0.513896171997902,0.211326691137913,0.0634504457262716
"ETP86",38.05,8.03,70.61,35.9,15.97,5.79,174.35,0.218239174075136,0.0460567823343849,0.404989962718669,0.205907657011758,0.0915973616289074,0.0332090622311443
"ETP87",126.32,24.48,228.21,205.85,138.7,37.2,760.76,0.166044481833956,0.0321783479678217,0.299976339450024,0.270584678479415,0.182317682317682,0.0488984699511015
"ETP88",16.04,4.61,3.13,10.05,5.78,2.86,42.47,0.377678361196138,0.10854720979515,0.0736990817047328,0.236637626559925,0.136096067812574,0.067341652931481
"ETP89",46.03,7.99,25.91,56.31,34.31,10.13,180.68,0.254759796324994,0.0442218286473323,0.143402700907682,0.311655966349347,0.189893734779721,0.0560659729909232
"ETP90",151.53,47.17,76.88,243.14,59.85,38.74,617.31,0.24546824124022,0.0764121754061979,0.124540344397466,0.39387017867846,0.0969529085872576,0.0627561516903987
"ETP91",270.37,71.95,61.64,241.21,93.33,49.54,788.04,0.343091721232425,0.0913024719557383,0.0782193797269174,0.306088523425207,0.118433074463225,0.0628648291964875
"ETP92",307.4,77.58,46.02,204.83,134.21,58.24,828.28,0.371130535567682,0.0936639783648042,0.0555609214275366,0.247295600521563,0.162034577679046,0.0703143864393683
"ETP93",99.71,25.07,58.73,95.8,42.85,19.31,341.47,0.292002225671362,0.0734178697982253,0.171991683017542,0.280551732216593,0.125486865610449,0.0565496236858289
"ETP94",101.4,35.88,276.48,279.85,58.32,41.06,792.99,0.127870464949117,0.0452464722127644,0.348655090228124,0.352904828560259,0.0735444330949949,0.0517787109547409
"ETP95",48.75,12.29,61.18,47.56,23.92,8.76,202.46,0.240788303862491,0.0607033488096414,0.302183147288353,0.234910599624617,0.118146794428529,0.0432678059863677
"ETP96",189.27,46.96,271.13,288.26,120.96,51.35,967.93,0.195540999865693,0.0485159050757803,0.280113231328712,0.297810792102735,0.124967714607461,0.0530513570196192
"ETP98",43.35,4.14,11.61,42.35,18.03,16.71,136.19,0.318305308759821,0.0303987076877891,0.0852485498201043,0.310962625743447,0.132388574785227,0.122696233203613
"ETP99",34.36,10.84,22.64,27.05,10.31,4.38,109.58,0.313560868771674,0.0989231611607958,0.206607045081219,0.246851615258259,0.0940865121372513,0.0399707975908012
"FP1",26.68,7.45,2.47,17.98,14.01,5.37,73.96,0.360735532720389,0.100730124391563,0.0333964305029746,0.243104380746349,0.189426717144402,0.0726068144943213
"FP2",93.13,19.42,5.93,62.13,42.65,18.26,241.52,0.385599536270288,0.0804074196753892,0.0245528320635972,0.257245776747267,0.176589930440543,0.0756045048029149
"FP48",61.95,8.97,40.87,95.11,20.06,26.93,253.89,0.244003308519438,0.0353302611367128,0.160975225491355,0.374611052030407,0.0790105951396274,0.106069557682461
"FP52",569.43,38.48,38.5,168.48,74.74,48.16,937.79,0.607204171509613,0.0410326405698504,0.0410539673061133,0.179656426278804,0.0796980134145171,0.0513547809211017
"FP54",74.12,22.51,8.04,47.06,33.11,11.72,196.56,0.377085877085877,0.11451973951974,0.0409035409035409,0.239417989417989,0.168447293447293,0.0596255596255596
"GBR26",704.17,147.89,71.76,689.24,178.59,295.4,2087.05,0.337399678972713,0.0708607843607005,0.034383459907525,0.330246041062744,0.0855705421527994,0.141539493543518
"GBR27",199.93,45.81,10.39,164.61,42.66,77.98,541.38,0.369296981787284,0.0846170896597584,0.0191916952972034,0.304056300565222,0.0787986257342347,0.144039306956297
"GBR41",84.97,23.54,50.68,73.05,34.26,17.65,284.15,0.299032201302129,0.0828435685377441,0.178356501847616,0.257082526834418,0.120570121414746,0.0621150800633468
"GBR46",63.46,15.24,11.23,54.87,21.5,18.33,184.63,0.343714455938905,0.0825434653089964,0.0608243514055137,0.297188972539674,0.116449114445106,0.0992796403618047
"GBR47",88.66,20.88,22.87,95.32,28.25,33.64,289.62,0.306125267592017,0.072094468614046,0.0789655410537946,0.329120917063739,0.0975416062426628,0.116152199433741
"GBR48",62.77,20.65,22.12,120.38,33.38,25.87,285.17,0.220114317775362,0.0724129466633938,0.0775677665953642,0.42213416558544,0.117052985938212,0.0907178174422274
"GBR49",42.93,9.84,8.12,86.78,23.16,18.34,189.17,0.226938732357139,0.0520167045514617,0.042924353755881,0.458740815139821,0.122429560712587,0.0969498334831104
"GBR53",39.16,9.93,17.35,41.33,14.91,10.1,132.78,0.294923934327459,0.0747853592408495,0.130667269167043,0.311266757041723,0.11229100768188,0.0760656725410453
"GBR54",74.78,16.31,35.73,102.78,36.75,23.27,289.62,0.258200400524826,0.056315171604171,0.123368551895587,0.354878806712244,0.126890408120986,0.0803466611421863
"GBR55",97.7,28.95,15.75,98.28,45.22,23.46,309.36,0.31581329195759,0.0935802948021722,0.050911559348332,0.317688130333592,0.146172743728989,0.0758339798293251
"GBR62",40.94,5.87,25.2,61.85,14.59,10.26,158.71,0.257954760254552,0.0369856971835423,0.158780165080965,0.389704492470544,0.0919286749417176,0.0646462100686787
"GBR63",94.3,27.15,128.44,128.79,44.22,26.79,449.69,0.209700015566279,0.0603749249482977,0.285618981965354,0.286397295914964,0.0983344081478352,0.0595743734572706
"GBR64",201.5,38.72,102.56,294.37,62.4,50.04,749.59,0.268813618111234,0.0516549046812257,0.136821462399445,0.392708013714164,0.0832455075441241,0.0667564935498072
"GBR65",58.88,17.4,9.33,38.23,23.45,9.93,157.22,0.374507060170462,0.110672942373744,0.059343594962473,0.24316244752576,0.149154051647373,0.0631599033201883
"GBR71",58.53,12.02,13.59,84.39,35.79,29.88,234.2,0.249914602903501,0.0513236549957301,0.0580273270708796,0.360333048676345,0.152818104184458,0.127583262169086
"GBR72",143.19,19.38,13.23,122.45,48.12,34.65,381.02,0.375807044249646,0.0508634717337673,0.0347225867408535,0.321374206078421,0.126292583066506,0.0909401081308068
"GBR80",56.86,17.52,105.22,178.05,45.89,32.48,436.02,0.130406862070547,0.0401816430438971,0.24131920554103,0.408352827851933,0.105247465712582,0.0744919957800101
"GBR81",25.2,5.22,13.84,37.14,18.23,13.17,112.8,0.223404255319149,0.0462765957446808,0.122695035460993,0.329255319148936,0.161613475177305,0.116755319148936
"GBR82",148.88,23.16,75.58,182.72,79.85,59.95,570.14,0.261128845546708,0.0406216017118602,0.132563931665907,0.320482688462483,0.140053320237135,0.105149612375908
"GBR83",78.33,19.67,16.83,87.33,51.18,21.52,274.86,0.284981445099323,0.07156370515899,0.0612311722331369,0.317725387469985,0.186203885614495,0.0782944044240704
"GBR85",14.04,3.01,1.47,14.54,7.4,5.63,46.09,0.304621392926882,0.0653070080277718,0.0318941201996095,0.315469733130831,0.160555435018442,0.122152310696463
"GBR88",108.92,17.67,10.07,85.13,35.96,37.77,295.52,0.368570655116405,0.0597929074174337,0.0340755278830536,0.288068489442339,0.121683811586356,0.127808608554413
"GBR90",83.28,18.13,10.57,54.6,34.69,22.28,223.55,0.372534108700514,0.0811004249608589,0.0472824871393424,0.244240662044285,0.155177812569895,0.099664504585104
"GBR91",26.9,6.46,3.43,26.85,12.73,7.01,83.38,0.322619333173423,0.0774766130966659,0.0411369633005517,0.322019668985368,0.152674502278724,0.0840729191652674
"GBR92",94.56,16.15,11,48.86,23.55,14.86,208.98,0.452483491243181,0.0772801224997607,0.0526366159441095,0.233802277729926,0.112690209589434,0.0711072829935879
"GBR93",107.77,12.05,8.65,44.61,21.79,13.87,208.74,0.516288205423014,0.0577273162786241,0.0414391108556098,0.213710836447255,0.104388234166906,0.0664462968285906
"GBR95",119.83,42.77,18.84,144.5,74.14,41.09,441.17,0.271618650406873,0.0969467552190765,0.0427046263345196,0.327538137226013,0.168053131445928,0.0931386993675907
"HAWAII1",71.18,13.13,3.73,30.6,13.7,4.56,136.9,0.519941563184806,0.09590942293645,0.0272461650840029,0.223520818115413,0.100073046018992,0.033308984660336
"HAWAII3",0.57,0.01,0.09,1.61,0.4,0.33,3.01,0.18936877076412,0.00332225913621262,0.0299003322259136,0.534883720930233,0.132890365448505,0.109634551495017
"MI2",84.05,9.61,29.87,142.88,18.7,31.23,316.34,0.265695138142505,0.03037870645508,0.0944237213125119,0.451665929063666,0.059113611936524,0.0987228930897136
"MI7",135.74,4.08,5.5,19.96,6.65,35.43,207.36,0.654610339506173,0.0196759259259259,0.0265239197530864,0.0962577160493827,0.0320698302469136,0.170862268518519
"NIC11",1.1,0.18,7.67,4.65,1.25,0.88,15.73,0.0699300699300699,0.0114431023521933,0.487603305785124,0.295613477431659,0.0794659885568976,0.0559440559440559
"NIC13",66.18,0.77,38.12,27.26,45.07,11.92,189.32,0.349566870906402,0.00406718783012888,0.201352207901965,0.143989013310797,0.238062539615466,0.0629621804352419
"NIC14",12.73,1.11,10.05,48.87,22.2,6.18,101.14,0.125865137433261,0.0109748862962231,0.0993672137631007,0.483191615582361,0.219497725924461,0.0611034210005932
"NIC7",7.8,0.84,14.2,30.88,12.85,5.62,72.19,0.108048206122732,0.0116359606593711,0.196703144479845,0.427760077573071,0.178002493420141,0.07785011774484
"NIUE4",139.16,11.37,9.48,31.09,12.06,3.71,206.87,0.672692995601102,0.0549620534635278,0.0458258809880601,0.150287620244598,0.0582974815101271,0.0179339681925847
"NMP-BF1",48.44,18.18,3.86,26.09,17.44,6.21,120.22,0.402927965396773,0.151222758276493,0.0321078023623357,0.217018798868741,0.14506737647646,0.0516552986191981
