"site","bAut","det","fish","mInv","sInv","zooP","sum_tot","bAut_prop","det_prop","fish_prop","mInv_prop","sInv_prop","zooP_prop"
"BOCAS6",27.23,0.04,2,29.62,7.54,1.93,68.36,0.398332358104154,0.000585137507314219,0.0292568753657109,0.433294324166179,0.11029842012873,0.0282328847279111
"BOCAS7",84.55,0.77,4.65,14.38,2.91,3.49,110.75,0.763431151241535,0.00695259593679458,0.0419864559819413,0.129841986455982,0.02627539503386,0.0315124153498871
"BOCAS8",11.09,0.15,1.09,4.37,1.81,0.93,19.44,0.570473251028807,0.00771604938271605,0.0560699588477366,0.224794238683128,0.0931069958847737,0.0478395061728395
"BOCAS9",7.62,0.15,0.72,4.65,2.17,1.6,16.91,0.450620934358368,0.00887049083382614,0.0425783560023655,0.27498521584861,0.128326434062685,0.0946185688941455
"BRA1",110.54,2.11,1.25,9.24,16.18,2.93,142.25,0.777082601054482,0.0148330404217926,0.00878734622144113,0.0649560632688928,0.113743409490334,0.020597539543058
"BRA10",174.61,7.67,2.91,26.23,34.47,5,250.89,0.695962373948742,0.0305711666467376,0.0115987085973933,0.104547809797122,0.137390888437164,0.0199290525728407
"BRA2",66.81,2.29,1.8,13.98,9.02,2.77,96.67,0.69111409951381,0.0236888383159201,0.018620047584566,0.144615702906796,0.0933071273404365,0.0286541843384711
"BRA3",86.29,12.72,31.35,249.04,42.48,7.23,429.11,0.201090629442334,0.0296427489454918,0.0730581902076391,0.580364009228403,0.0989955955349444,0.0168488266411876
"BRA4",56.08,3.13,0.91,13.69,11.93,2.25,87.99,0.637345152858279,0.0355722241163769,0.0103420843277645,0.155585862029776,0.13558358904421,0.0255710876235936
"BRA5",77.59,7.08,14.76,90.27,22.93,15.21,227.84,0.340545997191011,0.0310744382022472,0.0647823033707865,0.396199087078652,0.100640800561798,0.0667573735955056
"BRA6",83.16,5.24,4.4,46.07,19.28,4.83,162.98,0.510246656031415,0.0321511841943797,0.0269971775677997,0.282672720579212,0.118296723524359,0.0296355381028347
"BRA7",13.19,3.32,4.12,29.91,10.38,4.31,65.23,0.202207573202514,0.0508968266135214,0.0631611221830446,0.45853135060555,0.159129235014564,0.0660738923808064
