"family","genus","species","size","temperature","Ic_median","In_median","Ip_median"
"Pomacentridae","Abudefduf","Similiparma_lurida",5,20,0.0442144707864272,0.00609749811162152,0.0008611779238474
"Pomacentridae","Abudefduf","Similiparma_lurida",5,21,0.0451446943621538,0.00605160008686964,0.00087149309989306
"Pomacentridae","Abudefduf","Similiparma_lurida",5,22,0.0463101773037197,0.00642475897178695,0.00089812539662388
"Pomacentridae","Abudefduf","Similiparma_lurida",8,20,0.113721312359219,0.0158200175302505,0.00230970633979917
"Pomacentridae","Abudefduf","Similiparma_lurida",8,21,0.113227465553905,0.0153111471565998,0.00222229115244139
"Pomacentridae","Abudefduf","Similiparma_lurida",8,22,0.115697420823092,0.0157986487449877,0.00214217993579804
"Pomacentridae","Abudefduf","Similiparma_lurida",10,20,0.205224808102667,0.0284175089530046,0.00403853014262964
"Pomacentridae","Abudefduf","Similiparma_lurida",10,21,0.201739176798263,0.0276088572255532,0.00396563993913878
"Pomacentridae","Abudefduf","Similiparma_lurida",10,22,0.202228958668763,0.0279206241675865,0.00388629139994045
"Pomacentridae","Abudefduf","Similiparma_lurida",12,20,0.327739107837794,0.0447528253422017,0.0064522993418443
"Pomacentridae","Abudefduf","Similiparma_lurida",12,21,0.344861476930105,0.0459547843945165,0.00643530454311464
"Pomacentridae","Abudefduf","Similiparma_lurida",12,22,0.331193520864361,0.0433431070964279,0.0062302760721806
"Pomacentridae","Abudefduf","Abudefduf_notatus",5,29,0.0565177846926997,0.00918270776060796,0.00134347497238078
"Pomacentridae","Abudefduf","Abudefduf_notatus",10,29,0.175892939254618,0.0302921808094331,0.00433689724445765
"Pomacentridae","Abudefduf","Abudefduf_notatus",12,29,0.273564109412766,0.046844854102155,0.00661159740926622
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",5,27,0.0496001920961099,0.00872828580522258,0.00124769065014867
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",5,28,0.0500250247854845,0.00887933441452942,0.00126809756562612
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",5,29,0.0587469520583983,0.0103934306635541,0.00149373909720999
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",8,26,0.11907573363408,0.0210443069356679,0.00294587716739082
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",8,27,0.126107813808562,0.0223269181181274,0.00322597245333775
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",8,28,0.123769237419979,0.0223446116916424,0.00312521697406639
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",8,29,0.132528575434739,0.0235219950557096,0.00329996905533538
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",10,25,0.182347897943319,0.031829140979027,0.0044561224636093
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",10,26,0.179033727192737,0.0318962283615403,0.00454956130606555
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",10,27,0.185380400290747,0.033479641354138,0.00461409971901171
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",10,28,0.190725513057641,0.0346835398124167,0.00483374579225028
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",10,29,0.190277446340155,0.0340425483458384,0.00483375730000374
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",12,25,0.252432241090451,0.0447304827105969,0.00634712269467686
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",12,26,0.265568756266539,0.0471657516770633,0.00644405232988345
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",12,27,0.265692226056998,0.0464909752288208,0.00669737071990468
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",12,28,0.263876212020512,0.0465113136958046,0.00669748106822051
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",12,29,0.278058924367495,0.0489947268258702,0.00702040435369711
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",15,25,0.424170599258384,0.0755244757644676,0.0105988610685371
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",15,27,0.442688760986094,0.0797025129838944,0.0114520817297397
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",15,28,0.394131370693563,0.0716631229095826,0.0102672045749394
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",15,29,0.430616998907274,0.0774728041365275,0.0109525419735198
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",20,27,0.894605478344963,0.15850178316998,0.0223180740659401
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",20,28,0.849811828622918,0.152411498719684,0.0214712119268583
"Pomacentridae","Abudefduf","Abudefduf_saxatilis",20,29,0.88120365944272,0.155522529331531,0.0217365470485787
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",5,30,0.0589196594392312,0.0108193472309622,0.00159856551257064
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",8,30,0.130024233307962,0.0241951184128791,0.00345729770039679
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",12,27,0.270393424540396,0.0489249642959357,0.00710255085134023
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",12,28,0.294844393223651,0.0531422183370685,0.00768224880983602
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",15,26,0.457065037497932,0.0827040261313524,0.0117988806540294
"Pomacentridae","Abudefduf","Abudefduf_septemfasciatus",15,28,0.463677229320847,0.083062152026342,0.0126961131716654
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,21,0.0509272747568605,0.00906916853672426,0.0011315744831638
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,22,0.0505102765481216,0.0090346145784319,0.00113729993908015
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,23,0.0518788146712328,0.00917629828101066,0.00120044120043919
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,24,0.0561594335182723,0.00990784669992202,0.00127282610463212
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,25,0.0609430071288065,0.0107101545783586,0.00136670256743104
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,26,0.0623459891651226,0.0113833595856426,0.00145620851738413
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,27,0.0632313890301939,0.0114102218770549,0.00141353801151156
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,28,0.0639333119507182,0.0114048907480757,0.0014595713696414
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",5,29,0.0683337804736221,0.012502960521646,0.00158340762147815
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,21,0.1169998383039,0.0217026170116302,0.0026206208738979
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,22,0.120734896740174,0.0217074059939393,0.00270849028315122
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,23,0.122217466059866,0.0219406913165991,0.00281326804930889
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,24,0.122232028810254,0.0222597160277289,0.00285481053362319
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,25,0.124525752813549,0.0222898558184657,0.00290920177038901
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,26,0.130666634240309,0.0241620957947513,0.00308920088932302
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,27,0.132564383570254,0.0241513339689705,0.00310057167879649
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,28,0.14040474775651,0.0255517798493498,0.00325432330036771
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",8,29,0.143584634024831,0.0258579031167551,0.00348799012525723
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,21,0.18306836539539,0.0326368417892394,0.00418965657435913
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,22,0.185188862950584,0.0331736298182582,0.00430567494709226
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,24,0.203706463931568,0.0367961172856725,0.00452525625095693
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,25,0.201461720652827,0.0355205110749786,0.00448583517794335
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,26,0.206601895794724,0.0364307776646578,0.00460087619236466
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,27,0.196099957726693,0.0355898350835734,0.00465363707812008
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,28,0.216673198611559,0.0392631344312289,0.00484594717528989
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",10,29,0.214409451585712,0.038624288909717,0.00490047100802116
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,21,0.271775078121753,0.0494543483424745,0.00630957527080781
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,22,0.288610669667259,0.0523241327438458,0.00677527582217918
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,24,0.276074805353346,0.0493402989067333,0.0062952652377539
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,25,0.287798793303036,0.0515546470409175,0.00628463010808504
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,26,0.284643332275619,0.0504306077612948,0.00648614570237612
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,27,0.299930189897209,0.0533483946862177,0.00664840724863279
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,28,0.318640210790701,0.0570607061593046,0.00700145819127132
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",12,29,0.323653853319396,0.0575621309960847,0.00737373868334248
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,22,0.506344164868043,0.0913284702254762,0.0116671621904037
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,24,0.527344945990964,0.0930186302406302,0.0118884396999138
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,25,0.536901296868536,0.0971432634811499,0.0115960336143616
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,26,0.533442149333176,0.0958303575289781,0.0123638636835457
